,soma,Agua_Grande,Aldeia_Campista,Alvorada,Areia_Branca,Ari_Franco,Baependi,Barra,Boca_do_Mato,Botafogo,Bras_de_Pina_13kV,Bras_de_Pina_25kV,Brisamar,Cachambi,Cachamorra,Camara,Camerino_1,Camerino_2,Campo_Marte_13kV,Campo_Marte_25kV,Carmari,Cascadura_13kV,Cascadura_25kV,Caxias,Centenario,Coelho_da_Rocha,Colegio,Comendador_Soares,Copacabana,Cosmos,Curicica,Democraticos,Eldorado,Esperanca_13kV,Esperanca_25kV,Fontinele,Fundao,Gardenia,Governador,Guadalupe,Guanabara,Humaita,Influencia,Inmetro,Itaguai,Itapeba,Jaboatao,Jardim_Botanico,Leblon,Leme,Leopoldo,Mackenzie,Marapicu,Mato_Alto,Maturaca,Mena_Barreto,Meriti_13kV,Meriti_25kV,Nova_Iguacu_13kV,Nova_Iguacu_13kV.1,Paciencia,Padre_Miguel,Pavuna,Pedro_Ernesto,Piedade,Porta_Dagua_13kV,Porta_Dagua_25kV,Posto_Seis,Queimados,Ramos,Recreio,Retiro,Rio_Comprido,Rocha_Freire,Rosali,Samaritano,Santa_Cecilia,Santa_Clara,Santa_Luzia,Santissimo,Santo_Antonio_1,Santo_Antonio_2,Sao_Conrado,Sao_Joao,Sapucaia,Sarapui,Saudade,Seropedica,Taquara,Terra_Nova,Tres_Rios_13kV,Tres_Rios_25kV,Triagem_13kV,Triagem_25kV,Trovao,Turiacu,Uruguai,Vigario,Vigario_Geral,Vila_Valqueire,Vilar_dos_Teles,Volta_Redonda_13kV,Volta_Redonda_25kV,Washington_Luis,Zona_Industrial
2021-01-01,"2705778,32",21560,25732,"36053,208","50415,681","46435,072",33348,"36007,225",28817,"22761,3276","23927,248","2098,697",12680,"41464,482","41464,896","54707,648","7335,889","19248,59","18103,702","9402,986","24224,19","44252,261","3869,329","45476,021","16087,128",35340,"26178,20119","35599,904","22933,278","31595,471","48257,285","22959,819",7907,"33507,198","22191,91",18200,7610,19146,"23038,944",38299,"29965,343","14039,6080479255",2969,"8867,64",14625,"27069,292","46027,95","24243,2431542857",23466,"12558,114","19264,324","15202,743","21131,767",22077,"24337,24","50948,698","26837,728","2295,476","40765,360466","14632,469","5501,936","39661,851","25364,5749999999","38099,1831054687","24320,54","51176,98","5571,503501","31861,682","29661,952","26763,232","41206,224","18224,751","32611,772","9492,514","40763,25","16026,4722913365",16227,"29073,119","19612,188","27259,343","10829,639","13941,4009324524","22371,455",19637,1934,"38740,393","6380,354","20710,912",41755,"27767,037","13147,33","23429,824","24463,509","3006,266","26969,15","24512,691","19004,372","5708,641","25548,413",24403,"22653,39","22650,059","5667,711","30822,9287030152","13338,7"
2021-02-01,"2515693,18","23727,317","25310,263","36586,627","50963,608","44141,056","32876,546","33477,377","27794,375","22761,3276","23565,23","2121,389",12680,"38881,6","37257,184","54054,57","7587,475","14639,212","16453,826","9405,68","24980,637","44252,261","3902,836","45846,441","16306,156",34941,"26201,915","39603,52",21274,"28583,72","43766,61","21800,868",7907,"35087,492","24081,105",17169,7610,20741,"23354,358","37990,844","28315,499","14034,796",2825,"7454,035",14625,"27069,292","43786,784","24043,319","23527,53","13218,492","18838,901","14543,206","20325,18","21999,839","24711,031","50765,593","24265,448","2295,476","38722,624","14632,469",30452,39687,"31667,438","36612,89",24484,"48086,296","5238,14074489796","31778,611","29661,952","25107,456","35023,688","17672,063","32611,772","9492,514","40382,95","17528,0869388955",16754,"26072,08","18656,948","27236,09659","10224,796","13406,7777779999","22027,244",19637,1934,"37423,04","6061,722","20278,756",41754,28556,"12012,704","21705,28","26164,593","3415,561","26936,521",24980,20084,"5708,641","26522,893","25484,846","22653,39","22290,506","5100,933","32419,122",13508
2021-03-01,"2575822,38",23465,"24411,898","35692,376","48331,509","45576,96","32389,776","32451,901","28653,019","22063,067",22841,"1732,172",12680,"38881,6","38119,5679168997","50107,06","7587,475","14007,719","15535,779","9405,68","27054,37609","42154,391","4531,353","45476,021","17172,818",33425,"26201,915","35773,4",20136,"29940,944","43820,773","22349,495",7907,"35087,492","25570,781",17060,7610,"21220,260928043","21029,664",36056,"28315,499","13851,535",2958,"8364,501",14596,"26512,955","40181,999","24043,319","23517,74","13922,61","18240,951","16556,4","20088,9973218143","21999,839","21898,906","48993,05","27294,992","2295,476","41090,21875","13933,375",31102,"35736,344","32753,563",34264,24634,47487,4918,"30572,917","29460,224","24726,792","33171,456","18145,81","31490,66","9492,514","41025,19","17784,81",18321,"27625,053","18656,948","21835,25","10224,796","12704,416",21369,19637,1934,"34463,448","6366,083","19682,976",39201,26333,"12701,224","23559,424","26387,347","4439,551","25323,2","23775,043",18579,"5708,641","28688,504",22990,"21663,188","21712,38","4790,821","30985,36","13641,296"
2021-04-01,"2346203,75","20919,702","22351,962","34514,612","44093,898","37855,424",30975,"29297,741",23858,"20271,16",21529,"2056,333",12680,"38747,328","34798,562","47289,696","7587,475","13464,616","15535,779","9405,68","22012,799","42849,786","5231,41611542497","45242,67","17408,08",29932,"26201,915","35979,624",19350,"26404,075",39579,"20889,827",7907,"32498,67578125","18995,2461516655",15067,7610,19935,"20637,984","32326,268","26861,532","13189,276",2794,"11516,224",14596,24238,"37094,144","22322,521","22237,609","15128,36","16502,935","15202,743","18685,2960510457",21905,"22312,387","44964,321","25813,813","2295,476","36946,736328125","13016,684",30475,"29590,162","27531,859","31368,64453125",21870,"40958,112",4688,"28931,279","29260,109","22883,408","30048,136",17502,"29640,982","9492,514","41098,86","16806,494",16430,"24796,697","19612,188","26936,81","10224,796","12367,751","17341,879",18081,1934,"32007,148","6077,523","19250,567",33309,25482,"11387,451","21705,28","26061,337","4577,788","24047,824",24130,"17375,421","5724,72","28910,496","21090,118","19795,488","21037,323","5080,03","29754,257",13777
2021-05-01,"2122368,26",17788,"20620,659","31757,493","42060,09","33880,986","28676,1086344584","27994,093","21543,136","15248,74",17871,1706,12680,"30595,108","33344,192","41017,432","7587,475","13437,52","15535,779","9428,263","19042,254","33790,145","5013,893","34390,61","18042,24",27470,"26259,313","27715,104",18359,"23750,016","37793,714","17679,92",7907,"24227,708","18668,088","14713,877",7844,19137,"16694,368",29765,"22640,9",11255,2694,"10397,44",14564,"23003,5","34653,936","19062,715","19082,233","16648,476","14010,492","12637,72","18332,265",21905,"18546,172","35773,765","19828,844","2295,476","31541,625","4968,062",28573,"29567,859","25866,031","29014,1448364258",19560,"38052,0793276748","5196,479",26156,"29260,109","21276,781","26915,1009692833","17109,814","27976,946963365","9492,514","32390,0380859375","12430,1600570679",16052,"21438,73","19612,188",20780,"10224,796","12210,716","16004,119",16793,1934,"28538,88","5982,684","18870,0925",30493,22047,"11391,696","21476,224","19508,134","3365,132",20540,"19696,92","15055,739","5724,72","21733,44",17289,"17788,643","20107,668","5628,047","23699,313","13901,449"
2021-06-01,"1941132,92",16033,17820,"25087,384","39403,598","30953,34","23756,8793265054","26203,172",20048,"15248,74",15464,"1897,684",12680,"26145,856","28704,496","38457,36","7691,846","11999,879","15535,779","9428,263","17264,4233151672","28794,481","5323,132","30947,04","16622,552",25914,"26259,313","25357,088",17289,"22591,728",35728,"15800,008",7907,"24581,785","17658,156",14562,7844,"18942,845","14254,219",27885,"20269,311","10734,932",0,"8831,608",14564,"22746,862","33497,586","17671,4169738673","14458,7024999999","9920,153","13134,608127774","10531,263","16957,814","21565,825","16321,25","32404,657","18077,632","2273,207","28851,5","6866,5",26352,28819,"24809,248",26962,18260,"31168,9089120909",4836,"23685,4","29260,109","18596,379","25026,288",16250,"24822,003","9492,514","26591,453125","11709,323",15523,"18814,692","13487,574","17582,188","10224,796","12155,56","16297,295",16793,1934,"27021,056","5674,972","18795,822",28968,"19475,565","10507,404","20684,544","17074,79","3006,266","18560,0229827384",16214,13225,"5724,72","20582,4",16053,"15690,108","19298,071","6413,334","21046,778",14023
2021-07-01,"1913009,66",16320,17820,"25087,384","39088,232","29806,009","23756,8793265054","25704,894",19870,"15248,74",15464,"2462,053",12680,"27691,872","27763,008","38212,602","7691,846","12362,357","15535,779","9428,263","17725,481","31285,382","4634,183","32363,67","17735,219",25549,"26259,313","26332,8",15920,"22591,728","34380,508","13865,4500641849",7907,"24581,785","18632,715",15380,7844,17785,"16019,84","27243,775","19733,594","10734,932","2338,943","7786,328",14449,"23589,916","33524,353","17671,4169738673","14418,6375","9976,811","13311,2293997217","10531,263","16683,924","21565,825","16863,015","33569,064","18847,008","2273,207","30066,19","8426,921875",27069,28145,"24523,04","26327,52",17410,33834,"3413,20689655172","20307,921","29417,288","17015,436","24562,272","16083,786","21699,847","9492,514","28400,234","11984,329",15622,"18935,746","11143,639","19936,437","10224,796","11777,928","15998,441",16793,1934,"26887,564","5838,969","18802,0298863866","29863,626","21096,562","10700,704","21238,88","17879,536","2954,3425","19167,288","17422,008",13641,"5724,72","21733,44",17684,"16779,27","19102,427","6908,632","22532,664",14079
2021-08-01,"1927421,02",16910,17820,"25087,384","40133,99","30698,944","23756,8793265054","25704,894","20299,444","15248,74",17624,"2098,697",12680,"29282,435","27927,112","39301,468","7691,846","15410,336","15535,779","9784,635","17643,564","32624,335","4427,979","37241,937","18677,952",25809,"26259,313","27876,032","16435,8629836818","22591,728","35690,756","15616,827",7907,"26653,633","18510,403","15340,405",7844,17785,"16578,048","27583,5","20347,127","10734,932",1483,"8867,64",14449,"23849,413","35361,981","17671,4169738673","14418,6375","9976,811","13546,278","11387,915","18043,568","21535,021","17859,984","35447,609","19589,635","2273,207","30698,906","6789,21875",27136,"28602,562","25181,605",26962,16940,"35220,3313333333","4356,60526804124","20307,921","29417,288","16952,256","25026,288","16590,501","21699,847","9492,514","32152,438","11925,404",15247,"19821,568","13315,408","19997,876","10224,796","11355,011","15998,441",16793,1934,"27252,27","5769,436","18972,233664","30361,133",21723,"11181,017","21595,68","19054,238","3071,16628488852","19866,406",18896,"14488,293","5724,72","18780,512","18941,89","17460,128","19298,071","7517,233","23698,47","14152,142"
2021-09-01,"2029959,69","17072,573","19684,097","25087,384","43256,39","33226,952","23756,8793265054","26214,288","22002,537","15248,74",18517,"2121,389",12680,"30566,4","30234,632","40198,4","7691,846","10763,332","15535,779","9784,635","19776,805","32351,377","4334,723","38625,736","18789,616","27171,7","26486,875","27838,253","17708,859","23750,016","38041,705","17040,248",7907,"27596,595","20516,812",16374,7844,18461,"16837,632",28541,"20999,104","10734,932",2644,"7454,035","14432,142","24258,171","37768,56064","17671,4169738673","14418,6375","9976,811","14931,734","10531,263","19503,718","21526,217","18295,969","35716,702","20294,976","2273,207","31424,796875","13108,57",28573,"29392,43","26810,13","29180,884",18750,"38052,0793276748",4851,"23888,93","29417,288","18761,783","27660,508",17011,"24633,92","9492,514","30479,557","12092,417",14703,"22062,501","13487,574","21237,99","10224,796","11355,011","17427,864","17091,2",1934,"29346,784","6150,249","19464,52","31438,313","21452,943","11448,007","21705,28","19759,988","2657,16406733668","20234,091",19097,"14515,367","5724,72","23234,208","19016,323","19019,408","20107,668","7719,802","23379,598",14206
2021-10-01,"2306234,34","18951,244",21887,"25087,384","46284,59","38372,018",27897,"27994,093",23917,"15710,472",20876,"1732,172",12680,"32221,328","35137,696","44688,8275862069","7708,837","10763,332","15535,779","9784,635","22356,578","37420,236","3696,193","41641,295","19475,074","29423,4750286711","26486,875","31569,936",18545,"27024,752","40047,617","19453,751",7907,"31167,303","20036,246",17894,7844,19935,"18701,78",31290,"23608,832","11646,44",2771,"8598,504","14432,142","25093,677","40878,4","17671,4169738673","20466,827","9976,811","16972,419","10688,902","20325,18","21526,217","20008,631","40855,094","22084,064","2273,207","35444,133","11197,625",30026,"34626,875","28571,187","31612,1",21499,"41205,001","5237,743",26156,"29417,288","20535,904","30048,136",18079,"27641,28","9492,514","34501,75","14142,25",15114,"24044,41","13315,408","23688,251","10224,796","11355,011","18432,462",17442,1934,"32385,422","6235,816","19995,2",34338,"23276,204","12370,4","22702,272","21636,556","2938,17500000001",22098,"21328,008",15746,"5724,72","22915,808",19684,"20055,04","21106,212","7518,6","23411,994991",14345
2021-11-01,"2214875,54","18822,008",23480,"33393,58","47993,62","37037,4",29896,"28186,827","23526,498","18751,252",20958,"2056,333",12680,"33331,488","32172,096","47289,696","7708,837","10763,332","15535,779","9799,651","21419,929098","37694,762","3784,714","39554,36","17886,774",32931,"26486,875","32176,8",19316,"26404,075","41120,83","18841,399",7907,"30132,863281","20068,49",16621,7844,20217,"18324,864","34370,125",23935,12332,2694,"11516,224",14378,"27052,548","44353,248","19030,435","19939,3147715627","9976,811","16895,265","12639,364","21013,487","21480,294","20136,734","39973,8984375","22084,064","2266,2575","34171,531","13108,57",28921,"34436,1201171875","28784,438","34553,1019978969",21536,"40470,4562310275","5238,14074489796","28931,279","29417,288","21837,344","34442,276",17502,"29619,556","9492,514","34693,3874716981","13954,209",14525,"22797,964","11707,458","24525,969","10224,796","11355,011","18210,311","16926,959",1934,"35275,2","6130,16","20647,9486190649","33760,058","23276,204","11886,012","22445,12","21647,55","2993,75358416363","22984,353",21239,"15571,913","5724,72","25229,129",20347,"19673,952","21746,715","6957,331","23874,13","14607,466"
2021-12-01,"2524791,55","22542,799","25156,45","35241,488",52135,"45094,816","31820,032","30739,368","27779,54","21558,327","23127,233",1706,12680,"41464,482","37717,888","52577,424","7708,837","10763,332","15535,779","9799,651","24494,63","42154,391","3596,183","45457,599","17280,504",35238,"26675,32","35845,408","19937,299","28695,04",43826,"21467,009",7907,"33605,3","22644,234",16621,7950,20741,"21767,12",37676,"27400,224","13810,878",2816,"10264,288",14303,"29684,121","46335,208","23008,259","22559,749","9976,811","18838,901","15442,104","21507,4740620262","21480,294","23292,202","47817,104","26010,144","2266,2575","40765,360466","11467,02","5501,936",38130,"32352,219","45866,6372070313","24320,54",45503,5325,"30572,917","29661,952","24027,856","35871,216",18616,"31396,475","9492,514","39932,574","16660,12",15083,"27037,747","16417,997","27471,189","10224,796","11355,011","22027,244",19647,1934,"38435,4","6061,722","21076,179",38531,26440,"12605,82","23559,424","24759,289",2933,"25556,144","25111,428","18313,024","5724,72","27521,248","23153,152","22397,152","22432,565","6435,79","30572,436","14658,238"
